지하철역ID,지하철역명,호선,엘리베이터유무,휘체어리프트유무,환승주차자유무,무인민원발급기유무,환전키오스크유무,기차예매역유무,문화공간유무,만남의장소유무,유아수유방유무
150,서울역,01호선,Y,Y,N,N,N,Y,N,Y,N
151,시청,01호선,Y,N,N,N,N,N,N,Y,Y
152,종각,01호선,Y,N,N,Y,N,N,N,N,N
153,종로3가,01호선,Y,N,N,N,N,N,Y,N,Y
154,종로5가,01호선,Y,N,N,N,N,N,N,N,N
155,동대문,01호선,Y,N,N,N,N,N,N,Y,Y
156,신설동,01호선,Y,Y,N,N,N,N,N,N,N
157,제기동,01호선,Y,N,N,N,N,N,N,N,N
158,청량리,01호선,Y,Y,N,N,N,N,N,N,N
159,동묘앞,01호선,Y,N,N,N,N,N,N,N,N
200,까치산,02호선,N,N,N,N,N,N,N,N,Y
201,시청,02호선,Y,N,N,N,N,N,N,N,Y
202,을지로입구,02호선,Y,N,N,Y,Y,N,N,N,N
203,을지로3가,02호선,Y,N,N,N,Y,N,N,N,N
204,을지로4가,02호선,Y,N,N,N,N,N,N,Y,N
205,동대문역사문화공원,02호선,Y,N,N,N,Y,N,N,N,N
206,신당,02호선,Y,N,N,N,N,N,N,Y,N
207,상왕십리,02호선,Y,N,N,N,N,N,N,Y,N
208,왕십리,02호선,Y,N,N,N,N,N,N,Y,N
209,한양대,02호선,Y,Y,N,N,N,N,N,Y,N
210,뚝섬,02호선,Y,N,N,N,N,N,N,Y,N
211,성수,02호선,Y,N,N,Y,N,N,Y,Y,Y
212,건대입구,02호선,Y,N,N,Y,N,N,N,Y,N
213,구의,02호선,Y,N,N,Y,N,N,N,Y,N
214,강변,02호선,Y,N,N,N,N,N,N,N,Y
215,잠실나루,02호선,Y,N,Y,N,N,N,N,Y,N
216,잠실,02호선,Y,Y,N,N,Y,Y,N,N,Y
217,잠실새내,02호선,Y,N,N,N,N,N,N,Y,N
218,종합운동장,02호선,Y,N,N,N,N,Y,Y,Y,N
219,삼성,02호선,Y,Y,N,Y,Y,N,N,N,Y
220,선릉,02호선,Y,N,N,Y,Y,N,Y,N,N
221,역삼,02호선,Y,N,N,Y,Y,N,N,Y,N
222,강남,02호선,Y,N,N,Y,Y,N,N,N,Y
223,교대,02호선,Y,N,N,N,N,N,N,Y,N
224,서초,02호선,Y,N,N,N,N,N,N,Y,N
225,방배,02호선,Y,N,N,N,N,N,N,Y,N
226,사당,02호선,Y,N,Y,N,N,N,Y,Y,N
227,낙성대,02호선,Y,N,N,Y,N,N,N,Y,N
228,서울대입구,02호선,Y,N,N,Y,N,N,Y,Y,N
229,봉천,02호선,Y,N,N,Y,N,N,N,N,N
230,신림,02호선,Y,N,Y,Y,N,N,N,Y,Y
231,신대방,02호선,Y,N,Y,N,N,N,N,Y,N
232,구로디지털단지,02호선,Y,N,Y,Y,N,N,N,Y,N
233,대림,02호선,Y,N,N,N,N,N,N,Y,Y
234,신도림,02호선,Y,N,N,N,N,N,N,N,N
235,문래,02호선,Y,N,N,N,N,N,N,Y,N
236,영등포구청,02호선,Y,N,Y,N,N,N,N,Y,Y
237,당산,02호선,Y,N,N,Y,N,N,N,Y,N
238,합정,02호선,Y,N,N,N,N,N,N,Y,N
239,홍대입구,02호선,Y,N,N,N,Y,Y,N,Y,N
240,신촌,02호선,Y,N,N,Y,Y,N,N,Y,Y
241,이대,02호선,Y,N,N,N,Y,N,N,N,N
242,아현,02호선,Y,N,N,N,N,N,N,Y,N
243,충정로,02호선,Y,N,N,Y,N,N,N,Y,N
244,용답,02호선,Y,Y,N,N,N,N,N,N,N
245,신답,02호선,Y,N,N,N,N,N,N,N,N
246,신설동,02호선,Y,Y,N,N,N,N,N,N,Y
247,도림천,02호선,Y,N,N,N,N,N,N,N,N
248,양천구청,02호선,Y,N,N,N,N,N,N,Y,N
